time,clock,sleep,execute,overrun,type
1520599537467678,1000,888,111,0,4
1520599537468582,1000,887,112,0,0
1520599537468668,1000,887,112,0,1
1520599537468679,1000,887,112,0,2
1520599537468694,1000,887,112,0,3
1520599537468707,1000,887,112,0,4
1520599537469598,1000,874,125,0,0
1520599537469685,1000,874,125,0,1
1520599537469695,1000,874,125,0,2
1520599537469710,1000,874,125,0,3
1520599537469711,1000,874,125,0,4
1520599537470614,1000,885,114,0,0
1520599537470699,1000,885,114,0,1
1520599537470710,1000,885,114,0,2
1520599537470724,1000,885,114,0,3
1520599537470725,1000,885,114,0,4
1520599537471630,1000,888,111,0,0
1520599537471715,1000,888,111,0,1
1520599537471726,1000,888,111,0,2
1520599537471740,1000,888,111,0,3
1520599537471741,1000,888,111,0,4
1520599537472646,1000,887,112,0,0
1520599537472731,1000,887,112,0,1
1520599537472742,1000,887,112,0,2
1520599537472757,1000,887,112,0,3
1520599537472757,1000,887,112,0,4
1520599537473660,1000,887,112,0,0
1520599537473747,1000,887,112,0,1
1520599537473757,1000,887,112,0,2
1520599537473772,1000,887,112,0,3
1520599537473772,1000,887,112,0,4
1520599537474676,1000,887,112,0,0
1520599537474762,1000,887,112,0,1
1520599537474772,1000,887,112,0,2
1520599537474787,1000,887,112,0,3
1520599537474788,1000,887,112,0,4
1520599537475692,1000,887,112,0,0
1520599537475778,1000,887,112,0,1
1520599537475789,1000,887,112,0,2
1520599537475803,1000,887,112,0,3
1520599537475804,1000,887,112,0,4
1520599537476708,1000,887,112,0,0
1520599537476794,1000,887,112,0,1
1520599537476805,1000,887,112,0,2
1520599537476819,1000,887,112,0,3
1520599537476820,1000,887,112,0,4
1520599537477722,1000,887,112,0,0
1520599537477809,1000,887,112,0,1
1520599537477820,1000,887,112,0,2
1520599537477834,1000,887,112,0,3
1520599537477835,1000,887,112,0,4
1520599537478738,1000,886,113,0,0
1520599537478824,1000,886,113,0,1
1520599537478835,1000,886,113,0,2
1520599537478850,1000,886,113,0,3
1520599537478851,1000,886,113,0,4
1520599537479754,1000,887,112,0,0
1520599537479840,1000,887,112,0,1
1520599537479850,1000,887,112,0,2
1520599537479865,1000,887,112,0,3
1520599537479866,1000,887,112,0,4
1520599537480770,1000,888,111,0,0
1520599537480856,1000,888,111,0,1
1520599537480866,1000,888,111,0,2
1520599537480881,1000,888,111,0,3
1520599537480882,1000,888,111,0,4
1520599537481785,1000,888,111,0,0
1520599537481871,1000,888,111,0,1
1520599537481882,1000,888,111,0,2
1520599537481896,1000,888,111,0,3
1520599537481897,1000,888,111,0,4
1520599537482801,1000,887,112,0,0
1520599537482887,1000,887,112,0,1
1520599537482897,1000,887,112,0,2
1520599537482912,1000,887,112,0,3
1520599537482913,1000,887,112,0,4
1520599537483817,1000,887,112,0,0
1520599537483903,1000,887,112,0,1
1520599537483913,1000,887,112,0,2
1520599537483928,1000,887,112,0,3
